d_antenna_zoom1,s1_spacing,R,z_R,z_new,w_new,w0_new
0.14,0.01,0.3711072972603183,0.07732964972757159,0.18106608648120637,25.263925098508274,9.922659321656814
0.14,0.023030303030303033,0.3740743495537174,0.07859440856130562,0.18087798564201582,25.10152633535823,10.003474845038905
0.14,0.036060606060606064,0.37705725752770874,0.07987916599049533,0.18064896720214213,24.93748226264403,10.08490520230918
0.14,0.049090909090909095,0.38005599409976965,0.08118412139415869,0.18037803036850794,24.77184286578091,10.166948104698026
0.14,0.062121212121212126,0.38307052667685004,0.08250946920576469,0.18006415818855365,24.604660307768064,10.249600919445
0.14,0.07515151515151515,0.3861008169359059,0.08385539846147398,0.17970631760223194,24.43598903646751,10.332860657178765
0.14,0.08818181818181818,0.38914682059734773,0.08522209232949446,0.17930345951532237,24.26588589730226,10.416723959046987
0.14,0.10121212121212121,0.3922084871912071,0.08660972762020971,0.1788545188953051,24.094410251600113,10.50118708360118
0.14,0.11424242424242424,0.39528575981583014,0.08801847427676553,0.1783584148910814,23.921624100808707,10.586245893442706
0.14,0.1272727272727273,0.3983785748888984,0.08944849484582659,0.17781405097786662,23.74759221680427,10.671895841636847
0.14,0.14030303030303032,0.40148686189057403,0.09089994392824632,0.1772203151286209,23.572382278509956,10.758131957902922
0.14,0.15333333333333335,0.404610543098563,0.0923729676094275,0.17657608001342756,23.396065015031397,10.844948834589465
0.14,0.16636363636363638,0.4077495333148934,0.09386770286919212,0.175880203228267,23.21871435550338,10.932340612444605
0.14,0.1793939393939394,0.41090373958419535,0.09538427697101896,0.1751315275546724,23.04040758582434,11.02030096619293
0.14,0.19242424242424244,0.41407306090327034,0.09692280683055544,0.1743288812517915,22.861225512432746,11.108823089931288
0.14,0.20545454545454547,0.4172573879217394,0.09848339836336266,0.17347107838241624,22.681252633250395,11.19789968235738
0.14,0.2184848484848485,0.42045660263354834,0.10006614581190708,0.17255691917457297,22.50057731588188,11.28752293184625
0.14,0.23151515151515153,0.42367057805911723,0.10167113105187299,0.17158519042030299,22.319291983115782,11.377684501391125
0.14,0.24454545454545457,0.426899177917913,0.10329842287793824,0.17055466591328733,22.137493305719055,11.468375513426755
0.14,0.25757575757575757,0.4301422562912258,0.1049480762692231,0.16946410692700037,21.955282402453136,11.559586534554631
0.14,0.2706060606060606,0.4333996572749268,0.10662013163470037,0.1683122627350979,21.772765047163357,11.651307560191217
0.14,0.2836363636363637,0.43667121462199276,0.10831461403893893,0.16709787117576944,21.590051882704444,11.743527999162069
0.14,0.2966666666666667,0.4399567513745677,0.1100315324086349,0.1658196592617927,21.407258641359007,11.836236658266115
0.14,0.3096969696969697,0.44325607948535095,0.11177087872048418,0.16447634383804835,21.224506371284672,11.929421726836484
0.14,0.32272727272727275,0.44656899942808825,0.11353262717104542,0.1630666322882524,21.041921668383615,12.023070761325862
0.14,0.3357575757575758,0.4498952997969503,0.1153167333293492,0.16158922329266923,20.859636912826428,12.117170669946294
0.14,0.3487878787878788,0.45323475689458614,0.11712313327312039,0.1600428076385594,20.677790509276914,12.2117076973953
0.14,0.3618181818181818,0.45658713430863884,0.11895174270959932,0.15842606908510795,20.496527129654094,12.306667409702126
0.14,0.3748484848484849,0.4599521824765149,0.1208024560820682,0.15673768528455612,20.31599795703023,12.402034679229937
0.14,0.38787878787878793,0.4633296382382095,0.12267514566332345,0.1549763287612371,20.136360928998165,12.497793669871884
0.14,0.40090909090909094,0.4667192243769851,0.1245696606374653,0.1531406679501773,19.957780978544562,12.59392782248096
0.14,0.41393939393939394,0.4701206491477139,0.1264858261715226,0.1512293682968827,19.780430270138535,12.690419840575819
0.14,0.426969696969697,0.4735336057927023,0.12842344247857365,0.14924109341987615,19.604488428385878,12.78725167636664
0.14,0.44000000000000006,0.47695777204481893,0.13038228387418171,0.14717450633748652,19.430142756208436,12.884404517147615
